x0,x1,x2,x3,y,x4,x5
0.7,A0,A0,62.0,2155.0,5.65,5.71
0.57,,,61.1,1257.0,5.44,5.33
0.73,A1,,61.9,2557.0,5.76,5.81
0.23,,A2,62.3,431.0,3.9,3.92
0.31,A1,A3,62.1,942.0,4.35,4.32
1.77,,A3,61.6,15278.0,7.78,7.71
0.3,A0,A2,61.4,1013.0,4.28,4.25
0.41,,A0,63.4,904.0,4.74,4.73
0.31,,A4,62.3,586.0,4.31,4.33
0.55,,A1,59.7,1401.0,5.26,5.32
0.32,A2,A0,62.3,533.0,4.39,4.44
0.31,,A1,62.3,523.0,4.37,4.33
0.3,A3,A0,63.4,421.0,4.26,4.29
0.23,A2,A5,62.6,472.0,3.96,4.0
2.01,,A1,63.0,9658.0,8.04,7.97
2.22,A1,A1,62.8,13703.0,8.33,8.29
0.4,,A0,64.7,840.0,4.68,4.65
0.3,,A2,63.5,684.0,4.29,4.34
0.48,A2,A4,62.4,1053.0,4.99,5.03
1.24,A2,A3,59.6,8929.0,7.0,7.07
0.3,A0,A4,62.8,776.0,4.28,4.26
0.33,,A3,61.1,743.0,4.47,4.43
0.7,,A0,62.3,2459.0,5.67,5.7
1.05,,A0,63.1,,6.42,6.49
1.07,A2,A2,61.3,6751.0,6.54,6.59
0.31,A1,A3,61.5,872.0,4.41,4.37
1.13,A1,A5,61.5,11641.0,6.68,6.71
0.4,,A0,61.7,717.0,4.71,4.76
1.15,,A0,60.9,5139.0,6.8,6.72
1.01,A2,A1,63.7,4047.0,6.33,6.38
1.35,A0,A4,61.0,10415.0,7.15,7.09
0.34,A3,A0,63.9,765.0,4.48,4.44
0.7,A1,A0,62.6,2453.0,5.59,5.62
1.01,A2,A1,61.5,4262.0,6.35,6.44
1.13,A1,A3,61.6,7159.0,6.68,6.7
2.01,A0,A1,60.5,16287.0,8.14,8.09
0.39,A1,A4,61.7,913.0,4.68,4.72
0.9,A2,A1,63.4,3105.0,6.08,6.03
1.34,,A4,63.0,6237.0,6.9,7.01
0.4,A2,A5,60.6,1008.0,4.69,4.78
0.5,,A1,65.6,1035.0,4.99,4.92
1.21,A2,A4,60.0,10430.0,6.89,6.97
0.46,A0,A5,61.4,,4.99,4.95
0.94,A2,A1,62.3,3351.0,6.2,6.26
0.9,A2,A0,63.2,4560.0,6.12,6.1
0.4,,A3,59.7,1080.0,4.83,4.79
0.32,,A0,61.3,756.0,4.41,4.37
1.5,A3,A1,61.9,10302.0,7.31,7.38
0.3,A1,,61.8,665.0,4.31,4.33
0.56,A1,A2,61.9,2462.0,5.29,5.32
0.38,A3,A0,63.3,633.0,4.58,4.62
0.91,A2,A2,62.6,5733.0,6.1,6.16
0.38,A0,A4,62.4,1140.0,4.63,4.6
0.42,A2,A4,58.4,912.0,4.91,4.95
1.06,A1,A3,61.4,5116.0,6.59,6.61
0.33,,A3,61.5,723.0,4.41,4.47
0.34,A1,A5,61.8,626.0,4.47,4.5
0.72,,A1,61.3,2401.0,5.75,5.84
0.72,,A3,63.3,2393.0,5.66,5.72
0.5,A2,A2,61.5,2105.0,5.08,5.1
0.32,A0,A3,60.7,648.0,4.41,4.39
1.16,A1,A3,61.7,7243.0,6.8,6.72
1.54,A0,A0,61.3,10219.0,7.41,7.38
1.33,,A3,59.9,6614.0,7.13,7.09
1.4,A0,A1,61.8,8419.0,7.21,7.16
0.34,A0,A3,61.2,,4.48,4.44
0.33,,A0,60.6,743.0,4.44,4.41
,A1,A1,61.7,2459.0,5.98,6.01
1.0,,A1,59.1,3575.0,6.47,6.5
0.53,A1,A3,61.4,1813.0,5.25,5.18
1.07,,A0,59.4,5436.0,6.73,6.67
0.72,A0,A0,62.7,2757.0,5.69,5.73
0.35,,A0,61.3,504.0,4.55,4.58
0.42,,A3,62.0,1024.0,4.82,4.8
0.61,A1,A3,62.4,2002.0,5.42,5.45
1.21,A1,A4,61.1,8699.0,6.9,6.87
1.54,,A4,62.2,8848.0,7.34,7.38
0.4,A2,A0,63.2,882.0,4.69,4.65
0.32,A0,A3,61.7,828.0,4.41,4.38
0.9,A1,A1,62.6,3548.0,6.16,6.07
0.3,,A0,61.4,550.0,4.31,4.34
1.12,A0,A4,58.4,,6.87,6.84
1.71,A3,A0,63.8,12224.0,7.54,7.48
0.36,A1,A3,62.6,789.0,4.52,4.56
0.54,,A3,61.8,,5.24,5.21
1.1,,A0,63.4,4997.0,6.52,6.55
0.34,A2,A3,62.4,537.0,4.41,4.44
1.0,A4,A0,64.7,3780.0,6.35,6.3
1.24,A0,A0,61.8,4687.0,6.9,6.86
0.5,,A3,58.6,1654.0,5.21,5.16
1.5,A0,A3,61.8,14790.0,7.31,7.38
0.5,,A0,62.7,1331.0,5.06,5.09
1.25,A2,A3,62.5,9377.0,6.81,6.89
0.41,A1,A0,63.0,904.0,4.78,4.71
1.03,,A5,62.6,9598.0,6.49,6.38
0.79,A2,A0,63.3,2095.0,5.86,5.83
0.53,,A4,59.9,1350.0,5.24,5.28
0.79,A2,A1,62.6,2655.0,5.84,5.86
0.91,A2,A3,62.2,4759.0,6.13,6.21
0.5,A1,A3,62.2,1721.0,5.12,5.07
0.71,A2,A1,63.3,2225.0,5.65,5.69
0.31,,A5,61.6,1046.0,4.39,4.35
1.0,A4,A0,66.7,3669.0,6.07,5.99
1.6,,,62.1,,7.43,7.51
0.91,A3,A0,63.5,4512.0,6.11,6.14
0.33,,A2,61.4,1040.0,4.49,4.44
1.02,,A5,62.2,12035.0,6.42,6.44
0.7,,A3,59.1,2352.0,5.85,5.75
1.21,A4,A0,65.3,4147.0,6.6,6.51
0.26,A2,A2,60.4,597.0,4.15,4.19
1.76,,A1,60.9,9053.0,7.79,7.83
0.53,,A3,62.5,1314.0,5.15,5.19
0.34,A0,A3,61.3,596.0,4.51,4.53
1.05,,A0,59.7,6224.0,6.63,6.71
1.53,,A0,60.1,6126.0,7.52,7.5
1.05,A2,A3,60.1,6028.0,6.65,6.73
0.32,A1,A4,62.1,672.0,4.4,4.39
0.7,,A3,58.9,2187.0,5.69,5.76
0.71,A2,A4,62.6,3464.0,5.68,5.76
1.51,A2,A2,62.7,14938.0,7.33,7.38
1.0,A4,A3,66.7,4732.0,6.11,6.04
1.5,A4,A6,65.1,5040.0,7.12,6.96
0.51,,A3,62.0,1595.0,5.11,5.14
0.41,A2,A2,63.8,1019.0,4.67,4.7
0.36,A1,A4,61.8,1094.0,4.6,4.56
0.81,,A4,62.3,3266.0,5.95,5.89
0.76,,A5,62.1,3363.0,5.81,5.89
0.72,,A0,62.1,2857.0,5.76,5.73
0.9,,,62.7,4091.0,6.13,6.21
0.33,A2,A4,63.1,668.0,4.4,4.38
0.7,A1,A2,61.7,3644.0,5.66,5.71
0.31,A3,A4,59.0,600.0,4.44,4.47
0.38,,A3,60.6,955.0,4.7,4.73
0.7,,A5,62.1,2565.0,5.62,5.65
0.4,A2,A5,62.9,954.0,4.69,4.72
1.01,A0,A4,60.7,6932.0,6.49,6.52
0.34,,A3,61.3,765.0,4.53,4.51
0.41,,A1,63.8,638.0,4.68,4.75
0.71,A2,A0,63.0,2531.0,5.68,5.72
1.0,A2,A3,63.1,5723.0,6.39,6.31
0.33,,A3,60.5,,4.51,4.48
1.08,A2,A1,63.2,4318.0,6.54,6.5
0.53,A0,A0,61.0,1273.0,5.25,5.21
0.77,A1,A3,61.7,3154.0,5.87,5.9
0.72,A1,A4,61.4,3478.0,5.75,5.79
0.3,A0,A3,61.8,844.0,4.28,4.26
0.8,,A1,60.9,3251.0,6.0,6.03
0.33,,,60.9,761.0,4.46,4.51
0.4,,A3,62.9,975.0,4.74,4.73
0.34,,A0,61.8,540.0,4.48,4.51
0.7,A1,A5,61.6,3763.0,5.69,5.73
0.27,,A3,61.5,490.0,4.16,4.18
0.9,A3,A3,64.0,,6.04,6.08
0.5,,A1,62.9,1125.0,4.99,4.93
1.5,A1,A1,62.4,8471.0,7.29,7.26
1.0,A2,A6,62.5,3011.0,6.42,6.35
1.02,,A1,61.1,3601.0,6.44,6.5
1.2,,A3,62.5,7072.0,6.72,6.78
1.01,A1,A4,62.0,7887.0,6.46,6.42
0.32,,,60.8,561.0,4.41,4.44
0.59,,A4,64.4,1229.0,5.29,5.21
1.16,A1,A3,59.3,,6.84,6.88
0.53,A1,A3,60.6,1857.0,5.24,5.28
0.4,,A4,63.0,945.0,4.72,4.68
0.3,A2,A3,62.9,710.0,4.22,4.27
1.11,A1,A3,64.0,5632.0,6.52,6.46
1.32,,A1,59.2,4373.0,7.21,7.14
1.06,A1,A7,61.0,10995.0,6.55,6.64
0.32,,A3,60.6,645.0,4.4,4.44
0.34,A2,,62.3,686.0,4.44,4.48
0.51,,A4,62.6,1438.0,5.09,5.13
0.52,A1,A4,60.9,1835.0,5.21,5.17
1.21,A1,A2,62.7,7002.0,6.8,6.83
0.72,,A2,62.2,2933.0,5.67,5.72
1.05,,A3,61.6,6810.0,6.54,6.58
1.65,A1,A0,61.7,10365.0,7.6,7.63
2.08,A1,A0,61.7,17469.0,8.13,8.21
0.3,A1,A7,61.5,489.0,4.32,4.33
,A3,A4,63.1,605.0,4.25,4.27
1.53,A0,A4,60.2,13119.0,7.5,7.45
1.05,,A3,59.7,7794.0,6.56,6.63
0.23,,A2,62.6,505.0,3.93,3.96
1.19,A2,A0,62.8,6127.0,6.71,6.77
0.31,,A7,61.6,924.0,4.34,4.39
0.3,A1,A3,62.6,658.0,4.28,4.31
0.31,A0,A0,59.1,698.0,4.44,4.42
0.3,A1,A4,61.5,605.0,4.31,4.34
0.9,A1,A1,61.4,4044.0,6.19,6.23
1.05,A4,A1,65.8,2789.0,6.41,6.27
1.5,,A0,63.1,11863.0,7.31,7.24
0.6,,A4,59.6,2339.0,5.52,5.45
1.0,A0,A6,59.0,2264.0,6.49,6.43
1.09,A0,A0,60.2,5402.0,6.7,6.66
0.23,A3,A4,63.2,376.0,3.86,3.89
0.39,A0,A3,61.3,746.0,4.68,4.65
0.91,,A3,62.7,3979.0,6.11,6.21
0.3,A1,A7,61.4,956.0,4.37,4.33
0.43,A2,A1,61.5,691.0,4.86,4.89
0.68,A2,A4,59.7,2922.0,5.79,5.76
0.74,A2,A1,62.2,2713.0,5.75,5.79
1.5,A4,A1,68.8,7469.0,6.9,6.86
0.7,A2,,61.4,2553.0,5.7,5.73
0.9,A0,A0,61.7,3568.0,6.16,6.09
0.54,A0,A0,62.3,1715.0,5.22,5.18
0.71,A1,,62.2,2559.0,5.66,5.73
0.9,A1,A0,60.1,4034.0,6.3,6.35
0.64,,A2,62.4,1709.0,5.48,5.51
0.49,A3,A4,58.9,1430.0,5.17,5.21
1.61,A0,A3,62.3,15426.0,7.53,7.47
1.0,A0,A0,62.4,4816.0,6.42,6.37
0.73,A1,A4,62.3,3370.0,5.75,5.8
2.24,A0,A1,62.2,13827.0,8.37,8.33
0.57,A0,A0,60.7,1571.0,5.36,5.32
0.71,A2,A3,59.4,2843.0,5.76,5.82
1.56,,A3,61.7,7904.0,7.46,7.41
